
=======================
WikiArt Data Set Labels
=======================

This data set was created from paintings extracted from WikiArt.org.

Please refer to https://github.com/lucasdavid/wikiart for more information
or to report a bug.

contentId,url,artistName,lastNameFirst,image,wikipediaUrl,birthDay,deathDay,birthDayAsString,deathDayAsString
337468,"iain-baxter","Iain Baxter&","","https://uploads8.wikiart.org/images/iain-baxter.jpg","http://en.wikipedia.org/wiki/Iain_Baxter%26#cite_note-1","/Date(-1045357200000)/","/Date(-62135596800000)/","16 November 1936",
342300,"winifred-knights","Winifred Knights","","https://uploads4.wikiart.org/temp/9d56a488-d728-4c6a-a7cb-5c33f8c34050.jpg!Portrait.jpg","http://en.wikipedia.org/wiki/Winifred_Knights","/Date(-2240528400000)/","/Date(-62135596800000)/","1899","1947"
362594,"william-bradford","William Bradford","","https://uploads4.wikiart.org/temp/a726bea4-2e01-4383-b673-89675a30752e.jpg","https://en.wikipedia.org/wiki/William_Bradford_(painter)","/Date(-4628628000000)/","/Date(-61368372000000)/","30 April 1823","25 April 1892"
366915,"arsene-chabanian","Arsene Chabanian","","https://uploads4.wikiart.org/temp/08208e00-2edf-4506-89cc-0fcd3616458b.jpg","","/Date(-3345066000000)/","/Date(-62135596800000)/","1864","1949"
388694,"houshang-seyhoun","Houshang Seyhoun","","https://uploads4.wikiart.org/temp/311e9f6c-38aa-4c3d-a4c9-c57aa8b68db0.jpg","https://en.wikipedia.org/wiki/Hooshang_Seyhoun","/Date(-1557712800000)/","/Date(-61334157600000)/","22 August 1920","26 May 2014"
388721,"mohammad-hadi-tajvidi","Mohammad Hadi Tajvidi","","https://uploads4.wikiart.org/temp/8ef50275-720a-4b91-8baf-1bf253840d71.jpg","https://fa.wikipedia.org/wiki/%D9%87%D8%A7%D8%AF%DB%8C_%D8%AA%D8%AC%D9%88%DB%8C%D8%AF%DB%8C","/Date(-2461453200000)/","/Date(-62135596800000)/","1892","1940"
388730,"samira-eskandarfar","Samira Eskandarfar","","https://uploads4.wikiart.org/temp/9e691ba4-9161-40fe-af28-e592252092d5.jpg","","/Date(315529200000)/","/Date(-62135596800000)/","1980",
335710,"3d","3D","3D","https://uploads8.wikiart.org/images/3d.jpg","http://en.wikipedia.org/wiki/Robert_Del_Naja","/Date(-124506000000)/","/Date(-62135596800000)/","21 January 1966",
314332,"hans-von-aachen","Hans von Aachen","Aachen Hans von","https://uploads4.wikiart.org/temp/e4d609cf-bbc6-4559-8c18-9a29c5d3eab4.jpg!Portrait.jpg","http://en.wikipedia.org/wiki/Hans_von_Aachen","/Date(-13190864400000)/","/Date(-62035549200000)/","1552","04 March 1615"
316166,"vilmos-aba-novak","Vilmos Aba-Novak","Aba-Novak Vilmos","https://uploads4.wikiart.org/images/vilmos-aba-novak.jpg","http://en.wikipedia.org/wiki/Vilmos_Aba-Nov%C3%A1k","/Date(-2391987600000)/","/Date(-61228576800000)/","15 March 1894","29 September 1941"
314212,"reza-abbasi","Reza Abbasi","Abbasi Reza","https://uploads4.wikiart.org/temp/b08c3cef-4f30-46c0-ac58-966f9dbed1cf.jpg!Portrait.jpg","http://en.wikipedia.org/wiki/Reza_Abbasi","/Date(-12780550800000)/","/Date(-62135596800000)/","1565","1635"
319596,"edwin-austin-abbey","Edwin Austin Abbey","Abbey Edwin Austin","https://uploads4.wikiart.org/temp/bcff1809-4ee2-4417-ab15-2cad45c17e4f.jpg!Portrait.jpg","http://en.wikipedia.org/wiki/Edwin_Austin_Abbey","/Date(-3715898400000)/","/Date(-62117287200000)/","01 April 1852","01 August 1911"
