
=======================
WikiArt Data Set Images
=======================

This data set was created from paintings extracted from WikiArt.org.

Please refer to https://github.com/lucasdavid/wikiart for more information
or to report a bug.

contentId,url,style,genre,artistContentId,artistUrl
337626,"bagged-rothko-1965","Conceptual Art","abstract",337468,"iain-baxter"
337627,"lightbox-1965","Conceptual Art","installation",337468,"iain-baxter"
337630,"liquid-detergent-vancouver-british-columbia-1965","Conceptual Art","photo",337468,"iain-baxter"
337632,"pneumatic-judd-1965","Conceptual Art","sculpture",337468,"iain-baxter"
337635,"still-life-with-six-colours-1965","Conceptual Art","installation",337468,"iain-baxter"
337628,"extended-noland-1966","Conceptual Art","installation",337468,"iain-baxter"
337631,"nude-1968","Conceptual Art","photo",337468,"iain-baxter"
337634,"still-life-with-6-trucks-highway-1-saskatchewan-1968","Conceptual Art","photo",337468,"iain-baxter"
337633,"reflected-paris-beauty-spots-louvre-1980","Conceptual Art","photo",337468,"iain-baxter"
337629,"landscape-with-sailboats-digital-code-conversion-series-2008","Conceptual Art","landscape",337468,"iain-baxter"
346649,"design-for-wall-decoration-1918",,,342300,"winifred-knights"
346651,"the-goose-girl-1918",,,342300,"winifred-knights"
342302,"a-scene-in-a-village-street-with-millhands-conversing-1919",,,342300,"winifred-knights"
342301,"the-deluge",,"religious painting",342300,"winifred-knights"
346652,"the-artist-in-a-dress-of-her-own-design-three-sketches-1922",,,342300,"winifred-knights"
342303,"santissima-trinita-1928",,,342300,"winifred-knights"
342304,"scenes-from-the-life-of-st-martin-of-tours-1933",,,342300,"winifred-knights"
342305,"beer-devon",,,342300,"winifred-knights"
342306,"trees-at-roydon",,,342300,"winifred-knights"
362679,"passing-ships-1850","Romanticism","marina",362594,"william-bradford"
362613,"clipper-ship-golden-west-of-boston-outward-bound-1853","Romanticism","marina",362594,"william-bradford"
362614,"clipper-ship-northern-light-of-boston-1854","Romanticism","marina",362594,"william-bradford"
362691,"the-port-of-new-bedford-from-crow-island-1854","Romanticism","marina",362594,"william-bradford"
362685,"rock-study-at-nahant-massachusetts-1855","Romanticism","marina",362594,"william-bradford"
362608,"boston-harbor-1857","Romanticism","marina",362594,"william-bradford"
362677,"the-mary-of-boston-returning-to-port-1857","Romanticism","marina",362594,"william-bradford"
